Date,Equity,Position,Probability,Running_Max,Drawdown,Model,Threshold
2025-02-11,109689.78505650062,1,0.5199754238128662,116887.33305053982,-0.06157680054969783,XGBoost,0.5
2025-02-12,108579.04457557439,1,0.5351260304450989,116887.33305053982,-0.07107945966542917,XGBoost,0.5
2025-02-13,109264.93224608384,1,0.8337576985359192,116887.33305053982,-0.06521152126176233,XGBoost,0.5
2025-02-14,108422.1551944123,1,0.5098326802253723,116887.33305053982,-0.07242168706567487,XGBoost,0.5
2025-02-17,107552.99941220315,1,0.8371390700340271,116887.33305053982,-0.07985752942366031,XGBoost,0.5
2025-02-18,105078.82905859308,1,0.9005553126335144,116887.33305053982,-0.10102466780417485,XGBoost,0.5
2025-02-19,104948.31162854674,1,0.9314850568771362,116887.33305053982,-0.10214127664997608,XGBoost,0.5
2025-02-20,105131.58651966832,1,0.9293535351753236,116887.33305053982,-0.10057331469602915,XGBoost,0.5
2025-02-21,102065.94550408066,1,0.9348692297935486,116887.33305053982,-0.1268006306555961,XGBoost,0.5
2025-02-24,100787.20416952996,1,0.9287832975387572,116887.33305053982,-0.13774057856250754,XGBoost,0.5
2025-02-25,100315.13946513631,1,0.9299870729446412,116887.33305053982,-0.14177920868669336,XGBoost,0.5
2025-02-27,96724.66950465787,1,0.9354568123817444,116887.33305053982,-0.1724965658782206,XGBoost,0.5
2025-02-28,96996.80227836917,1,0.9313012957572936,116887.33305053982,-0.17016840279494072,XGBoost,0.5
2025-03-03,98079.77424727225,1,0.9012481570243835,116887.33305053982,-0.16090331015710269,XGBoost,0.5
2025-03-04,98496.30192761958,1,0.9005647897720337,116887.33305053982,-0.15733981298870348,XGBoost,0.5
2025-03-05,100011.07561436712,1,0.8894710540771484,116887.33305053982,-0.14438055001969918,XGBoost,0.5
2025-03-06,100277.64926213628,1,0.8298525214195251,116887.33305053982,-0.14209994663170067,XGBoost,0.5
2025-03-07,99679.2364721529,1,0.8402940034866333,116887.33305053982,-0.14721951583022663,XGBoost,0.5
2025-03-10,99280.76239227374,1,0.8483890295028687,116887.33305053982,-0.15062855998821822,XGBoost,0.5
2025-03-11,97361.95549970491,1,0.8764618635177612,116887.33305053982,-0.16704442681049547,XGBoost,0.5
2025-03-12,97496.63549478597,1,0.8382480144500732,116887.33305053982,-0.1658922061928617,XGBoost,0.5
2025-03-13,97125.92314750809,1,0.8172340989112854,116887.33305053982,-0.16906374187258832,XGBoost,0.5
2025-03-17,97125.92314750809,1,0.8106125593185425,116887.33305053982,-0.16906374187258832,XGBoost,0.5
2025-03-18,98943.37090353927,1,0.8179736733436584,116887.33305053982,-0.1535150274943986,XGBoost,0.5
2025-03-20,99358.51558182295,1,0.8013614416122437,116887.33305053982,-0.14996336225019136,XGBoost,0.5
2025-03-21,100770.5403505473,1,0.7974686622619629,116887.33305053982,-0.137883141649095,XGBoost,0.5
2025-03-24,101570.27485269857,1,0.7744424939155579,116887.33305053982,-0.1310412154858427,XGBoost,0.5
2025-03-25,100960.75736967467,1,0.7823407053947449,116887.33305053982,-0.13625578807567462,XGBoost,0.5
2025-03-26,101388.38974306252,1,0.8817691206932068,116887.33305053982,-0.13259728751596933,XGBoost,0.5
2025-03-27,100137.41692053496,1,0.8777562975883484,116887.33305053982,-0.14329966894498758,XGBoost,0.5
2025-03-28,98600.4338477064,1,0.88265460729599,116887.33305053982,-0.1564489386966038,XGBoost,0.5
2025-04-01,98410.21682857902,1,0.9332331418991088,116887.33305053982,-0.15807629227002418,XGBoost,0.5
2025-04-02,94500.40897983429,1,0.9217604398727416,116887.33305053982,-0.1915256639573243,XGBoost,0.5
2025-04-03,91619.42585743187,1,0.8700207471847534,116887.33305053982,-0.21617318603875235,XGBoost,0.5
2025-04-04,90915.49814529798,1,0.84055495262146,116887.33305053982,-0.22219546145357016,XGBoost,0.5
2025-04-07,91440.32031076688,1,0.8669483661651611,116887.33305053982,-0.21770547822123842,XGBoost,0.5
