Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Only_Downtrend,0.6,15,-0.3296948023827797,-0.11554169689219851,-0.9412128406959435,-0.7332577854437794,-0.39124067013862285,0.47368421052631576,0.4626442639281479,19,0.37,-0.3124085033541204,-0.017286299028659302
Only_Downtrend,0.6,20,-0.34646220457314847,-0.1223920951898555,-0.9243468353227956,-0.7418979251754243,-0.39324714334173094,0.4666666666666667,0.3732214693713868,15,0.38,-0.3124085033541204,-0.034053701219028065
Only_Downtrend,0.65,5,-0.26902423002940823,-0.0917040772803559,-0.8122358547679659,-0.5787699126172655,-0.299798134799691,0.37777777777777777,0.5453399218848526,45,0.33125,-0.3124085033541204,0.043384273324712175
Only_Downtrend,0.65,10,-0.3180003947833123,-0.11083389300420066,-0.9083394591418342,-0.7116736846262879,-0.34802732202821973,0.4230769230769231,0.4469123420502865,26,0.35375,-0.3124085033541204,-0.00559189142919192
Only_Downtrend,0.65,15,-0.3046161879919542,-0.10551399156555985,-0.8063865297043874,-0.6247300627045002,-0.35454850759313683,0.47368421052631576,0.45416853146882274,19,0.35875,-0.3124085033541204,0.00779231536216618
Only_Downtrend,0.65,20,-0.31835114238369977,-0.11097427588939812,-0.8363657676432933,-0.6711720809444399,-0.39173938780817463,0.4666666666666667,0.4197508232709775,15,0.37875,-0.3124085033541204,-0.005942639029579366
Only_Downtrend,0.7,5,-0.2431912283125216,-0.08196997463341482,-0.7745925099599453,-0.5409531223644929,-0.32466340202485355,0.4146341463414634,0.6082521015952751,41,0.3,-0.3124085033541204,0.0692172750415988
Only_Downtrend,0.7,10,-0.24352064880037094,-0.08209264230361624,-0.7029595228832751,-0.5394560570275448,-0.3074605500264591,0.4583333333333333,0.5296768351199583,24,0.325,-0.3124085033541204,0.06888785455374946
Only_Downtrend,0.7,15,-0.29369928558074654,-0.10122709144087172,-0.8065927285618095,-0.6228489714900648,-0.3675119242899436,0.5,0.40216056221767854,18,0.34875,-0.3124085033541204,0.018709217773373865
Only_Downtrend,0.7,20,-0.292348346699175,-0.10069979887188474,-0.7453429070358797,-0.5880093113841038,-0.37033673630195085,0.4666666666666667,0.40829220912520625,15,0.3675,-0.3124085033541204,0.020060156654945427
