Model,Fold,Date,Actual,Probability,Prediction,Close,Return_1D,Trend_Return_20D,Trend_Return_60D,Volatility_20D,Volatility_Median,Forward_Return_10D,Signal,Regime
XGBoost,5,2024-10-14,0,0.7580382823944092,1,4136.64990234375,-0.003024749922389547,-0.0853381212087514,-0.04145471850410143,0.15386393247846483,0.1738130228290568,-0.011071714012237499,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-15,0,0.7607991695404053,1,4116.7998046875,-0.004798592611137686,-0.08784139928266765,-0.04313873695356485,0.15361887967873175,0.1735879443971456,-0.010092743552938876,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-16,0,0.7894052863121033,1,4094.949951171875,-0.0053074850739028845,-0.09115221112901761,-0.044876238726003215,0.15326300778590204,0.17336286596523434,-0.002515305181001626,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-17,0,0.7607991695404053,1,4109.0,0.0034310672891384453,-0.05456551377021346,-0.04494057742106561,0.10435172790697317,0.17334389230200456,-0.03420541465761129,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-18,0,0.7467433214187622,1,4123.0498046875,0.0034192759035045484,-0.040291912896664894,-0.042542861030478996,0.10120348968636061,0.17332491863877478,-0.03367649193996314,1,Weak_Downtrend
XGBoost,5,2024-10-21,0,0.7944980263710022,1,4079.85009765625,-0.010477609798003495,-0.047854047786587084,-0.056136472491324474,0.10555607157304003,0.1733078626748613,-0.02835893293701308,1,Weak_Downtrend
XGBoost,5,2024-10-22,0,0.8129313588142395,1,4015.5,-0.015772662258649484,-0.05927140681738319,-0.08485934782848192,0.11568698195541903,0.17329080671094782,-0.010994870462893824,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-23,1,0.7620764970779419,1,4066.25,0.012638525712862725,-0.04800641820142659,-0.07186553391571326,0.1279164300344917,0.17318460517934858,0.018051005802336206,1,Weak_Downtrend
XGBoost,5,2024-10-24,1,0.7775447964668274,1,4047.89990234375,-0.0045127814709499114,-0.05306745368881216,-0.07272044354081442,0.1275261602903115,0.17307840364774932,0.0254452932347371,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-25,1,0.7742302417755127,1,4057.550048828125,0.0023839884179912563,-0.054734991536837474,-0.07474888926275636,0.12641710378861054,0.1729912855707646,0.02204531061735371,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-28,1,0.7284544706344604,1,4090.85009765625,0.008206934831954227,-0.050560514257467326,-0.069648175660872,0.13038247534714745,0.1729041674937799,0.026363737385058483,1,Strong_Downtrend_LowVol
XGBoost,5,2024-10-29,1,0.7427082061767578,1,4075.25,-0.003813412196449706,-0.045273515286400334,-0.048516784572543936,0.12803186379464693,0.17275773178826692,0.02997359728697635,1,Weak_Downtrend
XGBoost,5,2024-10-30,1,0.7393041253089905,1,4084.64990234375,0.0023065829933746063,-0.047400826658501094,-0.01694321504024543,0.12668817518205136,0.17261129608275394,0.016084657653230305,1,Weak_Downtrend
XGBoost,5,2024-10-31,1,0.9053999185562134,1,3968.449951171875,-0.028447958564380316,-0.062441686569753685,-0.04860717171246565,0.1530958520737887,0.1725070524784916,0.0447151793156606,1,Strong_Downtrend_LowVol
XGBoost,5,2024-11-01,1,0.9119563698768616,1,3984.199951171875,0.003968803989917724,-0.06303722707463699,-0.05148263497611516,0.1526818921521906,0.17240280887422926,0.008860009352126497,1,Strong_Downtrend_LowVol
