Date,Strategy,Equity,Daily_Return,Position,Probability,Regime
2025-10-28,Baseline_XGB_0.70,86740.20905501586,-0.009561670490345064,1.0,0.9506400227546692,Weak_Uptrend
2025-10-29,Baseline_XGB_0.70,86730.91079999338,-0.00010719659456415176,1.0,0.9506400227546692,Weak_Uptrend
2025-10-30,Baseline_XGB_0.70,86039.28872180913,-0.007974343539169815,1.0,0.9624971151351928,Weak_Downtrend
2025-10-31,Baseline_XGB_0.70,86743.31352126932,0.008182596694127797,1.0,0.9663246273994446,Weak_Uptrend
2025-11-03,Baseline_XGB_0.70,85465.522783222,-0.014730711638471172,1.0,0.9699298739433287,Weak_Downtrend
2025-11-04,Baseline_XGB_0.70,84640.5373779113,-0.009652844544147055,1.0,0.966317057609558,Strong_Downtrend_LowVol
2025-11-06,Baseline_XGB_0.70,85282.53342725395,0.007584971329709367,1.0,0.963252067565918,Strong_Downtrend_LowVol
2025-11-07,Baseline_XGB_0.70,84690.1634067529,-0.006945971193577982,1.0,0.9678396582603456,Strong_Downtrend_LowVol
2025-11-10,Baseline_XGB_0.70,85726.04050496806,0.012231374418774088,1.0,0.9661006927490234,Weak_Downtrend
2025-11-11,Baseline_XGB_0.70,86402.1553956229,0.007886925450798943,1.0,0.9406864643096924,Weak_Uptrend
2025-11-12,Baseline_XGB_0.70,89032.1759149799,0.03043929294720149,1.0,0.8606312274932861,Strong_Uptrend_LowVol
2025-11-13,Baseline_XGB_0.70,88222.69769719859,-0.009091973878683102,1.0,0.8599051833152771,Strong_Uptrend_LowVol
2025-11-14,Baseline_XGB_0.70,88232.00352409,0.0001054810965241959,1.0,0.8599051833152771,Strong_Uptrend_LowVol
2025-11-17,Baseline_XGB_0.70,88114.14738449291,-0.0013357527301860461,1.0,0.8599051833152771,Strong_Uptrend_LowVol
2025-11-18,Baseline_XGB_0.70,87645.83486422691,-0.005314839150885486,1.0,0.9306931495666504,Strong_Uptrend_LowVol
2025-11-19,Baseline_XGB_0.70,89525.30144966669,0.02144387794755187,1.0,0.8328841328620911,Strong_Uptrend_LowVol
2025-11-20,Baseline_XGB_0.70,89435.36279074383,-0.0010046172139773768,1.0,0.9005966186523438,Strong_Uptrend_LowVol
2025-11-21,Baseline_XGB_0.70,89615.24768045846,0.0020113396323500066,1.0,0.9034711718559264,Strong_Uptrend_LowVol
2025-11-24,Baseline_XGB_0.70,89323.70801178472,-0.0032532373253408853,1.0,0.91062593460083,Strong_Uptrend_LowVol
2025-11-25,Baseline_XGB_0.70,88641.39176049191,-0.007638691524122443,1.0,0.9159547090530396,Strong_Uptrend_LowVol
2025-11-26,Baseline_XGB_0.70,89996.71843618613,0.015289997694940327,1.0,0.9081119894981384,Strong_Uptrend_LowVol
2025-11-27,Baseline_XGB_0.70,89181.04642963575,-0.009063352761342514,1.0,0.9089021682739258,Strong_Uptrend_LowVol
2025-11-28,Baseline_XGB_0.70,89208.95633844107,0.00031295785284757294,1.0,0.91062593460083,Strong_Uptrend_LowVol
2025-12-01,Baseline_XGB_0.70,89081.79437195258,-0.0014254394593079533,1.0,0.9055212140083312,Strong_Uptrend_LowVol
2025-12-02,Baseline_XGB_0.70,89153.12894896152,0.0008007761575961059,1.0,0.9086408615112304,Strong_Uptrend_LowVol
2025-12-03,Baseline_XGB_0.70,90527.06727843857,0.015410993934532602,1.0,0.9030855298042296,Strong_Uptrend_LowVol
2025-12-04,Baseline_XGB_0.70,92052.97301695599,0.016855795558074593,1.0,0.8852713108062744,Strong_Uptrend_LowVol
2025-12-05,Baseline_XGB_0.70,92332.10239248487,0.0030322689901332023,1.0,0.8541183471679688,Strong_Uptrend_LowVol
2025-12-08,Baseline_XGB_0.70,92279.37946925875,-0.0005710140011975229,1.0,0.9100547432899476,Strong_Uptrend_LowVol
2025-12-09,Baseline_XGB_0.70,91404.77560697538,-0.009477782223001774,1.0,0.9096060395240784,Strong_Uptrend_LowVol
2025-12-10,Baseline_XGB_0.70,90812.39801460541,-0.006480816657951194,1.0,0.9117956757545472,Strong_Uptrend_LowVol
2025-12-11,Baseline_XGB_0.70,90896.1353128903,0.0009220910372989,1.0,0.911511480808258,Strong_Uptrend_LowVol
2025-12-12,Baseline_XGB_0.70,91783.14946831852,0.009758546415365776,1.0,0.9147669672966005,Strong_Uptrend_LowVol
2025-12-15,Baseline_XGB_0.70,92083.98739201477,0.003277703210654126,1.0,0.9173659682273864,Strong_Uptrend_LowVol
2025-12-16,Baseline_XGB_0.70,91305.53112116111,-0.008453763709641016,1.0,0.915477454662323,Strong_Uptrend_LowVol
2025-12-17,Baseline_XGB_0.70,91699.41217003364,0.004313879389736597,1.0,0.912119209766388,Strong_Uptrend_LowVol
2025-12-18,Baseline_XGB_0.70,93653.3177987358,0.02130772250839663,1.0,0.8625403046607971,Strong_Uptrend_LowVol
2025-12-19,Baseline_XGB_0.70,93690.53353443253,0.0003973776537922191,1.0,0.8110222816467285,Strong_Uptrend_LowVol
2025-12-22,Baseline_XGB_0.70,95021.04719570596,0.01420115363933161,1.0,0.7777234315872192,Strong_Uptrend_LowVol
2025-12-23,Baseline_XGB_0.70,94558.93603607792,-0.0048632505457056885,1.0,0.6881771087646484,Strong_Uptrend_LowVol
2025-12-24,Baseline_XGB_0.70,94838.06541160682,0.002951909012834042,1.0,0.6359147429466248,Strong_Uptrend_LowVol
2025-12-26,Baseline_XGB_0.70,93628.504784315,-0.012753957201069088,1.0,0.5904250741004944,Strong_Uptrend_LowVol
2025-12-29,Baseline_XGB_0.70,92744.59509514022,-0.009440604559594057,1.0,0.6342337727546692,Strong_Uptrend_LowVol
